YIL  ,   DUNYA_NUFUSU ,  CH4  ,    N2O ,        CO2 ,      O2 ,   SICAKLIK_SABAH ,  SICAKLIK_AKSAM 
1960 ,    30617631375 ,  1211 , 292.30 , 316.907499 ,    0.00 ,            -0.02 ,            0.03
1961 ,    31300849878 ,     0 , 292.40 , 317.636668 ,    0.00 ,             0.06 ,            0.02
1962 ,    31307128888 ,     0 , 292.50 , 318.449999 ,    0.00 ,             0.04 ,            0.00
1963 ,    32263568707 ,     0 , 292.60 , 318.994166 ,    0.00 ,             0.07 ,           -0.02
1964 ,    32953642074 ,     0 , 292.70 , 319.621666 ,    0.00 ,            -0.20 ,           -0.03
1965 ,    33660944235 ,  1272 , 292.70 , 320.043330 ,    0.00 ,            -0.10 ,           -0.04
1966 ,    34405997656 ,     0 , 292.80 , 321.383334 ,    0.00 ,            -0.05 ,           -0.05
1967 ,    35149707341 ,     0 , 293.10 , 322.156665 ,    0.00 ,            -0.02 ,           -0.04
1968 ,    35906662197 ,     0 , 293.60 , 323.045001 ,    0.00 ,            -0.07 ,           -0.03
1969 ,    36700612491 ,     0 , 294.30 , 324.624168 ,    0.00 ,             0.07 ,           -0.01
1970 ,    37506201734 ,  1340 , 295.20 , 325.680832 ,    0.00 ,             0.03 ,            0.00
1971 ,    38331264900 ,     0 , 296.20 , 326.318331 ,    0.00 ,            -0.09 ,            0.00
1972 ,    39148747464 ,     0 , 297.00 , 327.452504 ,    0.00 ,             0.01 ,            0.00
1973 ,    39960858056 ,     0 , 297.70 , 329.675832 ,    0.00 ,             0.16 ,           -0.01
1974 ,    40775293784 ,     0 , 298.40 , 330.183334 ,    0.00 ,            -0.08 ,            0.00
1975 ,    41574021839 ,  1411 , 299.10 , 331.115837 ,    0.00 ,            -0.02 ,            0.01
1976 ,    42359117369 ,     0 , 299.90 , 332.040838 ,    0.00 ,            -0.11 ,            0.03
1977 ,    43140935873 ,     0 , 299.09 , 333.830833 ,    0.00 ,             0.17 ,            0.07
1978 ,    43936140599 ,     0 , 300.03 , 335.399999 ,    0.00 ,             0.06 ,            0.12
1979 ,    44750117907 ,     0 , 300.91 , 336.842501 ,    0.00 ,             0.16 ,            0.16
1980 ,    45574180141 ,  1482 , 300.97 , 338.750832 ,    0.00 ,             0.27 ,            0.19
1981 ,    46419864092 ,     0 , 301.95 , 340.105835 ,    0.00 ,             0.33 ,            0.21
1982 ,    47299267450 ,     0 , 303.16 , 341.449168 ,    0.00 ,             0.13 ,            0.22
1983 ,    48188690031 ,  1625 , 303.75 , 343.053332 ,    0.00 ,             0.31 ,            0.21
1984 ,    49077030817 ,  1639 , 304.70 , 344.650004 ,    0.00 ,             0.16 ,            0.21
1985 ,    49982696957 ,  1650 , 305.26 , 346.116666 ,    0.00 ,             0.12 ,            0.23
1986 ,    50915196310 ,  1679 , 306.44 , 347.418330 ,    0.00 ,             0.18 ,            0.25
1987 ,    51871722318 ,  1676 , 306.07 , 349.195000 ,    0.00 ,             0.33 ,            0.28
1988 ,    52838658006 ,  1697 , 306.65 , 351.564166 ,    0.00 ,             0.41 ,            0.31
1989 ,    53806254584 ,  1706 , 307.91 , 353.119166 ,    0.00 ,             0.28 ,            0.34
1990 ,    54794022780 ,  1711 , 308.71 , 354.395831 ,    0.00 ,             0.44 ,            0.34
1991 ,    55742357956 ,  1732 , 309.33 , 355.607496 , -111.94 ,             0.41 ,            0.33
1992 ,    56667167136 ,  1732 , 309.89 , 356.447505 , -130.73 ,             0.22 ,            0.33
1993 ,    57594575595 ,  1735 , 310.17 , 357.100001 , -130.74 ,             0.24 ,            0.33
1994 ,    58511374121 ,  1733 , 310.78 , 358.832499 , -153.37 ,             0.31 ,            0.34
1995 ,    59431823984 ,  1754 , 311.07 , 360.819997 , -166.32 ,             0.44 ,            0.37
1996 ,    60336889516 ,  1751 , 311.89 , 362.606667 , -192.21 ,             0.33 ,            0.40
1997 ,    61242581295 ,  1757 , 312.73 , 363.729998 , -198.86 ,             0.47 ,            0.43
1998 ,    62139435896 ,  1768 , 316.04 , 366.699168 , -226.41 ,             0.62 ,            0.45
1999 ,    63027017175 ,  1763 , 314.57 , 368.377500 , -241.27 ,             0.40 ,            0.48
2000 ,    63904719654 ,  1777 , 315.55 , 369.549164 , -258.31 ,             0.40 ,            0.50
2001 ,    64779957063 ,  1763 , 316.33 , 371.144165 , -284.74 ,             0.54 ,            0.52
2002 ,    65652005871 ,  1773 , 317.00 , 373.279996 , -288.90 ,             0.62 ,            0.55
2003 ,    66528878718 ,  1779 , 317.66 , 375.802498 , -330.45 ,             0.61 ,            0.58
2004 ,    67411613192 ,  1778 , 318.26 , 377.522502 , -347.23 ,             0.53 ,            0.60
2005 ,    68300870106 ,  1776 , 319.04 , 379.797498 , -355.45 ,             0.67 ,            0.61
2006 ,    69196004701 ,  1764 , 319.99 , 381.897502 , -389.74 ,             0.62 ,            0.61
2007 ,    70096587387 ,  1784 , 320.65 , 383.791667 , -407.59 ,             0.64 ,            0.61
2008 ,    71010668844 ,  1780 , 321.58 , 385.605830 , -426.19 ,             0.52 ,            0.62
2009 ,    71933225210 ,  1795 , 322.24 , 387.429166 , -449.38 ,             0.63 ,            0.62
2010 ,    72861439574 ,  1799 , 323.11 , 389.897507 , -479.64 ,             0.70 ,            0.62
2011 ,    73786664350 ,  1799 , 324.17 , 391.652499 , -492.91 ,             0.57 ,            0.63
2012 ,    74731369841 ,  1812 , 325.01 , 393.854172 , -506.91 ,             0.61 ,            0.67
2013 ,    75693882611 ,  1806 , 325.92 , 396.519165 , -544.36 ,             0.64 ,            0.71
2014 ,    76664203921 ,  1833 , 327.06 , 398.649165 , -560.42 ,             0.73 ,            0.77
2015 ,    77637124957 ,  1828 , 328.06 , 400.834165 , -579.90 ,             0.86 ,            0.83
2016 ,    78615272591 ,  1842 , 329.39 , 404.240000 , -608.70 ,             0.99 ,            0.89
2017 ,    79592353881 ,  1851 , 330.50 , 406.553332 , -632.89 ,             0.90 ,            0.95